geoid,pop_nonwhite_pct,occ_occupied_pct,own_occupied_pct,age_below5_pct,age_above65_pct,median_income,ed_highschool_below_pct,unemployed_pct
370479301002,56.2,83.6,75.0,3.5,8.1,34460.0,42.2,4.6
370479304001,61.5,89.8,94.6,0.9,5.2,37698.0,32.8,2.5
370479313004,37.4,89.8,71.7,6.2,2.4,26910.0,47.0,0.6
370479301003,34.2,88.1,68.7,4.2,6.9,40625.0,47.7,4.6
370479306004,4.3,83.2,97.8,1.9,5.4,53629.0,44.6,3.5
370479306001,42.8,71.3,60.1,3.2,5.4,21458.0,36.3,2.4
370479307005,42.1,82.4,75.7,3.4,7.3,37476.0,33.5,3.0
370479310003,52.7,87.4,57.8,4.4,3.0,38250.0,40.7,2.9
370479303001,56.9,91.0,78.3,3.3,2.8,32708.0,38.3,6.6
370479311003,38.0,76.2,52.9,8.4,2.3,24934.0,44.6,3.5
370479308004,25.9,96.4,64.0,6.4,7.0,,24.7,0.0
370479304003,57.9,85.0,70.8,1.9,7.1,39028.0,50.3,3.9
370479304002,44.7,79.9,63.8,5.1,3.5,35152.0,37.8,4.7
370479313002,8.1,78.3,90.2,0.0,0.0,58000.0,33.3,1.8
370479313003,5.4,89.1,79.1,7.4,4.0,35069.0,31.7,3.4
370479313001,0.0,87.5,73.7,3.1,7.5,36339.0,33.7,4.8
370479301001,26.7,84.8,75.7,8.3,5.6,34375.0,35.9,9.2
370479302001,53.9,85.7,74.1,4.8,3.2,45987.0,38.0,2.0
370479306003,25.8,86.9,76.2,8.5,1.6,42143.0,34.9,3.7
370479306002,48.6,78.5,89.1,0.0,9.1,36136.0,36.0,2.4
370479307001,8.4,92.8,94.1,9.3,4.3,29008.0,27.7,9.5
370479307003,22.1,98.1,76.1,5.4,5.0,32750.0,46.5,6.7
370479307002,82.9,84.1,45.1,17.6,2.4,21250.0,41.9,6.3
370479311002,6.1,100.0,70.9,8.8,6.4,36034.0,39.2,1.8
370479308001,17.0,89.4,94.8,0.5,8.9,68036.0,31.9,1.9
370479308003,54.0,75.2,65.2,2.3,4.4,60000.0,28.6,4.1
370479308002,20.6,83.0,80.0,1.9,9.4,78125.0,25.3,0.0
370479307004,30.3,88.3,66.3,5.8,7.8,47404.0,20.9,7.0
370479312003,61.8,85.6,68.0,1.0,2.3,,35.5,0.0
370479312004,4.4,100.0,83.7,3.7,6.3,41087.0,45.6,3.3
370479312006,36.6,79.1,100.0,4.1,3.3,58614.0,57.8,3.8
370479312005,60.1,97.7,60.6,3.3,3.2,45952.0,52.3,0.0
370479312002,46.6,76.9,58.7,8.9,3.7,27951.0,51.8,3.5
370479312001,23.4,80.0,43.0,2.3,4.1,32292.0,32.5,0.0
370479305001,63.6,98.7,85.1,0.0,10.5,31845.0,36.1,1.2
370479305002,26.3,88.8,82.8,5.9,6.8,28341.0,31.0,6.0
370479305003,49.4,72.0,79.8,4.6,6.7,43250.0,22.8,7.4
370479309002,95.9,50.0,32.9,11.9,0.0,18068.0,46.8,0.0
370479309003,91.0,70.8,73.9,0.0,11.3,21563.0,48.2,0.0
370479309005,58.0,90.9,35.7,14.4,3.3,,27.6,7.9
370479309004,41.7,89.5,41.3,0.0,7.9,31934.0,36.5,0.0
370479309001,41.3,85.4,75.1,3.9,7.4,22480.0,69.6,3.7
370479310001,20.0,93.4,75.5,4.6,8.4,40608.0,42.1,3.3
370479310002,33.9,86.5,88.7,3.9,6.8,43511.0,31.1,0.7
370479311001,16.2,92.5,77.8,4.0,3.9,43184.0,38.2,1.0
370479303003,18.7,60.4,75.3,3.4,5.4,58409.0,24.4,0.0
370479303002,14.0,56.0,71.1,4.7,5.5,50375.0,23.5,1.5
