geoid,B01001_001E,B01001_002E,B01001_003E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_001E,B02001_002E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B19013_001E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B25002_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E
370479301002,1718,780,24,43,24,72,25,20,0,938,36,14,48,57,6,49,1,1718,752,1239,43,0,0,0,0,28,0,0,5,58,8,42,38,74,1,417,20,136,132,112,112,12,1,0,34460,1406,654,654,590,64,0,752,834,697,137,697,523,174
370479304001,1694,740,16,2,33,53,25,3,18,954,0,36,40,80,64,54,0,1694,653,1158,49,0,0,0,0,0,0,0,12,0,19,5,34,0,36,261,21,125,234,133,78,89,58,4,37698,1348,681,681,647,34,0,667,800,718,82,718,679,39
370479313004,2125,983,107,33,19,0,0,0,0,1142,24,7,28,11,72,58,24,2125,1331,1349,34,0,0,0,0,0,0,0,66,41,0,0,72,87,46,491,75,196,58,123,46,7,7,0,26910,1454,800,800,792,8,0,654,981,881,100,881,632,249
370479301003,1455,767,50,55,28,17,19,0,8,688,11,8,37,39,20,9,9,1455,957,987,28,0,0,0,11,0,0,10,9,61,0,8,53,52,0,343,72,83,52,79,108,18,0,0,40625,1246,824,824,767,57,0,422,603,531,72,531,365,166
370479306004,1061,495,0,0,21,36,10,0,0,566,20,23,31,41,10,0,11,1061,1015,807,11,12,0,1,10,0,0,0,0,34,11,21,0,46,10,253,73,28,128,97,72,0,0,0,53629,850,490,490,460,30,0,360,483,402,81,402,393,9
370479306001,409,115,0,0,11,11,14,2,0,294,13,4,16,24,0,15,7,409,234,339,4,0,0,0,0,0,11,0,0,0,4,0,0,13,0,106,9,85,33,21,42,11,0,0,21458,380,173,173,164,9,0,207,341,243,98,243,146,97
370479307005,996,504,22,31,42,0,0,0,16,492,12,18,0,33,29,7,26,996,577,731,0,0,0,0,0,0,0,0,0,0,0,34,29,59,0,211,34,95,113,72,84,0,0,0,37476,890,379,379,352,27,0,511,569,469,100,469,355,114
370479310003,2452,1546,94,4,49,21,33,39,14,906,14,34,23,31,3,58,1,2452,1160,1704,9,0,0,0,0,2,0,8,2,31,19,11,70,65,12,552,123,153,447,96,70,9,25,0,38250,2076,824,824,764,60,0,1252,865,756,109,756,437,319
370479303001,1063,480,7,6,11,13,4,8,23,583,28,16,16,31,37,18,16,1063,458,739,4,6,0,0,0,0,0,0,0,28,7,35,22,9,0,227,42,33,183,61,63,16,3,0,32708,823,393,393,339,54,0,430,421,383,38,383,300,83
370479311003,1209,608,101,0,9,19,16,9,0,601,0,26,9,50,0,19,21,1209,750,825,0,0,0,0,0,0,9,0,0,27,0,58,19,58,0,168,200,13,190,37,23,23,0,0,24934,884,331,331,300,31,0,553,471,359,112,359,190,169
370479308004,745,387,22,34,0,18,0,0,9,358,26,8,10,18,18,0,0,745,552,514,10,0,0,0,0,0,0,0,0,0,0,49,10,20,0,98,9,95,45,100,78,0,0,0,-666666666,546,377,377,377,0,0,169,366,353,13,353,226,127
370479304003,1041,551,20,9,52,13,0,59,18,490,0,42,14,44,70,32,0,1041,438,803,24,0,0,0,0,0,37,0,24,8,13,26,0,23,0,349,7,44,147,43,47,11,0,0,39028,955,361,361,324,37,0,594,512,435,77,435,308,127
370479304002,942,411,41,3,20,10,21,8,0,531,7,20,8,30,19,5,13,942,521,727,13,0,0,0,0,0,0,0,0,0,8,0,0,60,12,189,60,40,161,41,65,65,0,13,35152,824,385,385,346,39,0,439,567,453,114,453,289,164
370479313002,645,265,0,0,0,0,0,0,0,380,0,0,18,0,0,0,0,645,593,403,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,94,40,42,23,113,73,0,0,0,58000,596,329,329,318,11,0,267,299,234,65,234,211,23
370479313003,775,315,0,16,0,15,0,18,19,460,57,20,36,15,0,36,0,775,733,565,0,0,0,0,0,0,0,0,0,17,18,41,0,21,0,159,20,86,94,18,75,16,0,0,35069,668,317,317,294,23,0,351,430,383,47,383,303,80
370479313001,1915,1025,7,16,21,106,17,31,0,890,52,37,48,34,17,34,18,1915,1915,1283,50,0,0,0,0,0,43,0,64,0,0,45,63,0,14,283,50,214,172,109,108,68,0,0,36339,1364,636,636,571,65,0,728,865,757,108,757,558,199
370479301001,1120,562,46,26,19,18,0,0,0,558,47,9,18,9,9,2,0,1120,821,601,0,0,0,0,0,0,0,0,0,0,3,3,4,21,0,189,27,33,137,136,47,1,0,0,34375,780,458,458,386,72,0,322,520,441,79,441,334,107
370479302001,2246,1118,62,26,3,42,48,20,19,1128,46,7,36,52,62,14,31,2246,1035,1551,40,0,0,1,20,0,0,2,7,9,72,32,68,116,45,422,88,148,225,127,114,15,0,0,45987,1760,980,978,943,35,2,780,993,851,142,851,631,220
370479306003,1579,726,29,0,3,23,28,25,10,853,105,0,6,62,22,1,6,1579,1171,967,13,0,0,0,0,2,0,0,15,0,4,55,103,37,0,274,37,66,117,88,106,50,0,0,42143,1284,772,772,725,47,0,512,677,588,89,588,448,140
370479306002,481,222,0,7,7,30,5,0,0,259,0,3,5,23,30,0,0,481,247,450,14,0,0,0,0,0,0,0,0,0,23,29,23,29,13,132,2,35,48,71,14,11,6,0,36136,458,245,245,234,11,0,213,316,248,68,248,221,27
370479307001,462,227,0,0,0,20,0,66,0,235,43,0,0,21,22,46,23,462,423,419,0,0,0,0,0,0,0,0,0,0,16,22,39,0,0,109,7,60,38,9,102,0,17,0,29008,419,105,105,65,40,0,314,291,270,21,270,254,16
370479307003,745,354,0,5,0,32,30,17,0,391,40,18,30,0,0,17,0,745,580,583,3,0,0,0,17,0,0,0,0,0,0,0,66,20,0,224,41,32,31,51,52,25,0,21,32750,657,268,268,224,44,0,389,311,305,6,305,232,73
370479307002,1190,605,111,3,6,20,12,8,0,585,99,18,7,36,6,0,8,1190,203,725,2,0,0,0,8,7,0,8,16,20,11,47,37,15,0,255,45,13,100,63,71,7,0,0,21250,882,481,481,425,56,0,401,596,501,95,501,226,275
370479311002,1697,863,126,0,69,39,17,0,0,834,24,6,35,76,18,0,9,1697,1593,1148,11,0,0,0,0,0,0,0,0,10,0,10,98,73,24,410,18,95,126,122,112,39,0,0,36034,1278,572,572,549,23,0,706,687,687,0,687,487,200
370479308001,1095,599,6,42,37,18,0,9,0,496,0,19,30,62,10,10,18,1095,909,819,11,0,0,0,0,0,0,0,0,9,0,0,5,0,10,215,24,66,115,133,164,61,6,0,68036,932,560,560,542,18,0,372,538,481,57,481,456,25
370479308003,915,393,8,13,10,17,9,23,0,522,13,9,29,48,0,34,0,915,421,671,0,0,0,0,0,0,0,0,0,0,30,0,34,20,0,192,0,33,116,116,70,45,7,8,60000,724,441,441,411,30,0,283,516,388,128,388,253,135
370479308002,988,446,0,15,35,43,0,7,35,542,19,0,37,37,16,26,57,988,784,754,0,0,0,0,0,0,0,0,0,17,19,7,0,4,8,156,35,95,114,56,141,75,9,18,78125,786,430,430,430,0,0,356,494,410,84,410,328,82
