geoid,NAME,B01001_001E,B01001_002E,B01001_003E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,tract,block group,table
370479301002,"Block Group 2, Census Tract 9301, Columbus County, North Carolina",1718,780,24,43,24,72,25,20,0,938,36,14,48,57,6,49,1,37,047,930100,2,b01001
370479304001,"Block Group 1, Census Tract 9304, Columbus County, North Carolina",1694,740,16,2,33,53,25,3,18,954,0,36,40,80,64,54,0,37,047,930400,1,b01001
370479313004,"Block Group 4, Census Tract 9313, Columbus County, North Carolina",2125,983,107,33,19,0,0,0,0,1142,24,7,28,11,72,58,24,37,047,931300,4,b01001
370479301003,"Block Group 3, Census Tract 9301, Columbus County, North Carolina",1455,767,50,55,28,17,19,0,8,688,11,8,37,39,20,9,9,37,047,930100,3,b01001
370479306004,"Block Group 4, Census Tract 9306, Columbus County, North Carolina",1061,495,0,0,21,36,10,0,0,566,20,23,31,41,10,0,11,37,047,930600,4,b01001
370479306001,"Block Group 1, Census Tract 9306, Columbus County, North Carolina",409,115,0,0,11,11,14,2,0,294,13,4,16,24,0,15,7,37,047,930600,1,b01001
370479307005,"Block Group 5, Census Tract 9307, Columbus County, North Carolina",996,504,22,31,42,0,0,0,16,492,12,18,0,33,29,7,26,37,047,930700,5,b01001
370479310003,"Block Group 3, Census Tract 9310, Columbus County, North Carolina",2452,1546,94,4,49,21,33,39,14,906,14,34,23,31,3,58,1,37,047,931000,3,b01001
370479303001,"Block Group 1, Census Tract 9303, Columbus County, North Carolina",1063,480,7,6,11,13,4,8,23,583,28,16,16,31,37,18,16,37,047,930300,1,b01001
370479311003,"Block Group 3, Census Tract 9311, Columbus County, North Carolina",1209,608,101,0,9,19,16,9,0,601,0,26,9,50,0,19,21,37,047,931100,3,b01001
370479308004,"Block Group 4, Census Tract 9308, Columbus County, North Carolina",745,387,22,34,0,18,0,0,9,358,26,8,10,18,18,0,0,37,047,930800,4,b01001
370479304003,"Block Group 3, Census Tract 9304, Columbus County, North Carolina",1041,551,20,9,52,13,0,59,18,490,0,42,14,44,70,32,0,37,047,930400,3,b01001
370479304002,"Block Group 2, Census Tract 9304, Columbus County, North Carolina",942,411,41,3,20,10,21,8,0,531,7,20,8,30,19,5,13,37,047,930400,2,b01001
370479313002,"Block Group 2, Census Tract 9313, Columbus County, North Carolina",645,265,0,0,0,0,0,0,0,380,0,0,18,0,0,0,0,37,047,931300,2,b01001
370479313003,"Block Group 3, Census Tract 9313, Columbus County, North Carolina",775,315,0,16,0,15,0,18,19,460,57,20,36,15,0,36,0,37,047,931300,3,b01001
370479313001,"Block Group 1, Census Tract 9313, Columbus County, North Carolina",1915,1025,7,16,21,106,17,31,0,890,52,37,48,34,17,34,18,37,047,931300,1,b01001
370479301001,"Block Group 1, Census Tract 9301, Columbus County, North Carolina",1120,562,46,26,19,18,0,0,0,558,47,9,18,9,9,2,0,37,047,930100,1,b01001
370479302001,"Block Group 1, Census Tract 9302, Columbus County, North Carolina",2246,1118,62,26,3,42,48,20,19,1128,46,7,36,52,62,14,31,37,047,930200,1,b01001
370479306003,"Block Group 3, Census Tract 9306, Columbus County, North Carolina",1579,726,29,0,3,23,28,25,10,853,105,0,6,62,22,1,6,37,047,930600,3,b01001
370479306002,"Block Group 2, Census Tract 9306, Columbus County, North Carolina",481,222,0,7,7,30,5,0,0,259,0,3,5,23,30,0,0,37,047,930600,2,b01001
370479307001,"Block Group 1, Census Tract 9307, Columbus County, North Carolina",462,227,0,0,0,20,0,66,0,235,43,0,0,21,22,46,23,37,047,930700,1,b01001
370479307003,"Block Group 3, Census Tract 9307, Columbus County, North Carolina",745,354,0,5,0,32,30,17,0,391,40,18,30,0,0,17,0,37,047,930700,3,b01001
370479307002,"Block Group 2, Census Tract 9307, Columbus County, North Carolina",1190,605,111,3,6,20,12,8,0,585,99,18,7,36,6,0,8,37,047,930700,2,b01001
370479311002,"Block Group 2, Census Tract 9311, Columbus County, North Carolina",1697,863,126,0,69,39,17,0,0,834,24,6,35,76,18,0,9,37,047,931100,2,b01001
370479308001,"Block Group 1, Census Tract 9308, Columbus County, North Carolina",1095,599,6,42,37,18,0,9,0,496,0,19,30,62,10,10,18,37,047,930800,1,b01001
370479308003,"Block Group 3, Census Tract 9308, Columbus County, North Carolina",915,393,8,13,10,17,9,23,0,522,13,9,29,48,0,34,0,37,047,930800,3,b01001
370479308002,"Block Group 2, Census Tract 9308, Columbus County, North Carolina",988,446,0,15,35,43,0,7,35,542,19,0,37,37,16,26,57,37,047,930800,2,b01001
370479307004,"Block Group 4, Census Tract 9307, Columbus County, North Carolina",1429,760,0,24,13,75,0,21,5,669,83,7,13,14,34,18,6,37,047,930700,4,b01001
370479312003,"Block Group 3, Census Tract 9312, Columbus County, North Carolina",1953,1772,6,10,35,0,5,7,4,181,13,9,9,14,20,9,4,37,047,931200,3,b01001
370479312004,"Block Group 4, Census Tract 9312, Columbus County, North Carolina",1270,650,18,0,20,60,0,4,0,620,29,0,29,50,26,7,0,37,047,931200,4,b01001
370479312006,"Block Group 6, Census Tract 9312, Columbus County, North Carolina",489,224,9,0,16,0,0,0,0,265,11,0,0,45,0,15,15,37,047,931200,6,b01001
370479312005,"Block Group 5, Census Tract 9312, Columbus County, North Carolina",1360,651,45,13,16,15,13,0,0,709,0,14,80,35,33,30,0,37,047,931200,5,b01001
