geoid,NAME,B01001_001E,B01001_002E,B01001_003E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,state,county,tract,table
37047930100,"Census Tract 9301, Columbus County, North Carolina",4293,2109,120,124,71,107,44,20,8,2184,94,31,103,105,35,60,10,37,047,930100,b01001
37047930200,"Census Tract 9302, Columbus County, North Carolina",2246,1118,62,26,3,42,48,20,19,1128,46,7,36,52,62,14,31,37,047,930200,b01001
37047930300,"Census Tract 9303, Columbus County, North Carolina",2765,1241,40,37,49,37,64,86,30,1524,65,28,57,117,96,64,101,37,047,930300,b01001
37047930400,"Census Tract 9304, Columbus County, North Carolina",3677,1702,77,14,105,76,46,70,36,1975,7,98,62,154,153,91,13,37,047,930400,b01001
37047930500,"Census Tract 9305, Columbus County, North Carolina",4252,1968,101,74,146,106,72,34,45,2284,73,88,144,231,86,85,62,37,047,930500,b01001
37047930600,"Census Tract 9306, Columbus County, North Carolina",3530,1558,29,7,42,100,57,27,10,1972,138,30,58,150,62,16,24,37,047,930600,b01001
37047930700,"Census Tract 9307, Columbus County, North Carolina",4822,2450,133,63,61,147,42,112,21,2372,277,61,50,104,91,88,63,37,047,930700,b01001
37047930800,"Census Tract 9308, Columbus County, North Carolina",3743,1825,36,104,82,96,9,39,44,1918,58,36,106,165,44,70,75,37,047,930800,b01001
37047930900,"Census Tract 9309, Columbus County, North Carolina",4764,1990,161,19,57,172,74,29,68,2774,259,14,205,169,115,0,82,37,047,930900,b01001
37047931000,"Census Tract 9310, Columbus County, North Carolina",5406,3132,199,4,173,122,140,53,37,2274,35,73,41,114,87,104,17,37,047,931000,b01001
37047931100,"Census Tract 9311, Columbus County, North Carolina",4046,2114,273,10,91,79,43,17,0,1932,24,39,62,138,67,36,30,37,047,931100,b01001
37047931200,"Census Tract 9312, Columbus County, North Carolina",7289,4186,98,54,102,114,38,27,27,3103,167,44,152,166,145,148,79,37,047,931200,b01001
37047931300,"Census Tract 9313, Columbus County, North Carolina",5460,2588,114,65,40,121,17,49,19,2872,133,64,130,60,89,128,42,37,047,931300,b01001
