geoid,NAME,B02001_001E,B02001_002E,state,county,tract,block group,table
370479301002,"Block Group 2, Census Tract 9301, Columbus County, North Carolina",1718,752,37,047,930100,2,b02001
370479304001,"Block Group 1, Census Tract 9304, Columbus County, North Carolina",1694,653,37,047,930400,1,b02001
370479313004,"Block Group 4, Census Tract 9313, Columbus County, North Carolina",2125,1331,37,047,931300,4,b02001
370479301003,"Block Group 3, Census Tract 9301, Columbus County, North Carolina",1455,957,37,047,930100,3,b02001
370479306004,"Block Group 4, Census Tract 9306, Columbus County, North Carolina",1061,1015,37,047,930600,4,b02001
370479306001,"Block Group 1, Census Tract 9306, Columbus County, North Carolina",409,234,37,047,930600,1,b02001
370479307005,"Block Group 5, Census Tract 9307, Columbus County, North Carolina",996,577,37,047,930700,5,b02001
370479310003,"Block Group 3, Census Tract 9310, Columbus County, North Carolina",2452,1160,37,047,931000,3,b02001
370479303001,"Block Group 1, Census Tract 9303, Columbus County, North Carolina",1063,458,37,047,930300,1,b02001
370479311003,"Block Group 3, Census Tract 9311, Columbus County, North Carolina",1209,750,37,047,931100,3,b02001
370479308004,"Block Group 4, Census Tract 9308, Columbus County, North Carolina",745,552,37,047,930800,4,b02001
370479304003,"Block Group 3, Census Tract 9304, Columbus County, North Carolina",1041,438,37,047,930400,3,b02001
370479304002,"Block Group 2, Census Tract 9304, Columbus County, North Carolina",942,521,37,047,930400,2,b02001
370479313002,"Block Group 2, Census Tract 9313, Columbus County, North Carolina",645,593,37,047,931300,2,b02001
370479313003,"Block Group 3, Census Tract 9313, Columbus County, North Carolina",775,733,37,047,931300,3,b02001
370479313001,"Block Group 1, Census Tract 9313, Columbus County, North Carolina",1915,1915,37,047,931300,1,b02001
370479301001,"Block Group 1, Census Tract 9301, Columbus County, North Carolina",1120,821,37,047,930100,1,b02001
370479302001,"Block Group 1, Census Tract 9302, Columbus County, North Carolina",2246,1035,37,047,930200,1,b02001
370479306003,"Block Group 3, Census Tract 9306, Columbus County, North Carolina",1579,1171,37,047,930600,3,b02001
370479306002,"Block Group 2, Census Tract 9306, Columbus County, North Carolina",481,247,37,047,930600,2,b02001
370479307001,"Block Group 1, Census Tract 9307, Columbus County, North Carolina",462,423,37,047,930700,1,b02001
370479307003,"Block Group 3, Census Tract 9307, Columbus County, North Carolina",745,580,37,047,930700,3,b02001
370479307002,"Block Group 2, Census Tract 9307, Columbus County, North Carolina",1190,203,37,047,930700,2,b02001
370479311002,"Block Group 2, Census Tract 9311, Columbus County, North Carolina",1697,1593,37,047,931100,2,b02001
370479308001,"Block Group 1, Census Tract 9308, Columbus County, North Carolina",1095,909,37,047,930800,1,b02001
370479308003,"Block Group 3, Census Tract 9308, Columbus County, North Carolina",915,421,37,047,930800,3,b02001
370479308002,"Block Group 2, Census Tract 9308, Columbus County, North Carolina",988,784,37,047,930800,2,b02001
370479307004,"Block Group 4, Census Tract 9307, Columbus County, North Carolina",1429,996,37,047,930700,4,b02001
370479312003,"Block Group 3, Census Tract 9312, Columbus County, North Carolina",1953,747,37,047,931200,3,b02001
370479312004,"Block Group 4, Census Tract 9312, Columbus County, North Carolina",1270,1214,37,047,931200,4,b02001
370479312006,"Block Group 6, Census Tract 9312, Columbus County, North Carolina",489,310,37,047,931200,6,b02001
370479312005,"Block Group 5, Census Tract 9312, Columbus County, North Carolina",1360,543,37,047,931200,5,b02001
370479312002,"Block Group 2, Census Tract 9312, Columbus County, North Carolina",1255,670,37,047,931200,2,b02001
370479312001,"Block Group 1, Census Tract 9312, Columbus County, North Carolina",962,737,37,047,931200,1,b02001
370479305001,"Block Group 1, Census Tract 9305, Columbus County, North Carolina",1017,370,37,047,930500,1,b02001
370479305002,"Block Group 2, Census Tract 9305, Columbus County, North Carolina",1987,1465,37,047,930500,2,b02001
370479305003,"Block Group 3, Census Tract 9305, Columbus County, North Carolina",1248,631,37,047,930500,3,b02001
370479309002,"Block Group 2, Census Tract 9309, Columbus County, North Carolina",489,20,37,047,930900,2,b02001
370479309003,"Block Group 3, Census Tract 9309, Columbus County, North Carolina",611,55,37,047,930900,3,b02001
370479309005,"Block Group 5, Census Tract 9309, Columbus County, North Carolina",2300,966,37,047,930900,5,b02001
370479309004,"Block Group 4, Census Tract 9309, Columbus County, North Carolina",604,352,37,047,930900,4,b02001
370479309001,"Block Group 1, Census Tract 9309, Columbus County, North Carolina",760,446,37,047,930900,1,b02001
370479310001,"Block Group 1, Census Tract 9310, Columbus County, North Carolina",1543,1235,37,047,931000,1,b02001
370479310002,"Block Group 2, Census Tract 9310, Columbus County, North Carolina",1411,933,37,047,931000,2,b02001
370479311001,"Block Group 1, Census Tract 9311, Columbus County, North Carolina",1140,955,37,047,931100,1,b02001
370479303003,"Block Group 3, Census Tract 9303, Columbus County, North Carolina",774,629,37,047,930300,3,b02001
370479303002,"Block Group 2, Census Tract 9303, Columbus County, North Carolina",928,798,37,047,930300,2,b02001
