geoid,NAME,B02001_001E,B02001_002E,state,county,tract,table
37047930100,"Census Tract 9301, Columbus County, North Carolina",4293,2530,37,047,930100,b02001
37047930200,"Census Tract 9302, Columbus County, North Carolina",2246,1035,37,047,930200,b02001
37047930300,"Census Tract 9303, Columbus County, North Carolina",2765,1885,37,047,930300,b02001
37047930400,"Census Tract 9304, Columbus County, North Carolina",3677,1612,37,047,930400,b02001
37047930500,"Census Tract 9305, Columbus County, North Carolina",4252,2466,37,047,930500,b02001
37047930600,"Census Tract 9306, Columbus County, North Carolina",3530,2667,37,047,930600,b02001
37047930700,"Census Tract 9307, Columbus County, North Carolina",4822,2779,37,047,930700,b02001
37047930800,"Census Tract 9308, Columbus County, North Carolina",3743,2666,37,047,930800,b02001
37047930900,"Census Tract 9309, Columbus County, North Carolina",4764,1839,37,047,930900,b02001
37047931000,"Census Tract 9310, Columbus County, North Carolina",5406,3328,37,047,931000,b02001
37047931100,"Census Tract 9311, Columbus County, North Carolina",4046,3298,37,047,931100,b02001
37047931200,"Census Tract 9312, Columbus County, North Carolina",7289,4221,37,047,931200,b02001
37047931300,"Census Tract 9313, Columbus County, North Carolina",5460,4572,37,047,931300,b02001
