geoid,NAME,B06007_001E,B06007_002E,B06007_003E,B06007_004E,B06007_005E,B06007_006E,B06007_007E,B06007_008E,B06007_033E,B06007_034E,B06007_035E,B06007_036E,B06007_037E,B06007_038E,B06007_039E,B06007_040E,state,county,tract,table
37047930100,"Census Tract 9301, Columbus County, North Carolina",4079,3535,534,241,293,10,10,0,288,56,232,40,192,0,0,0,37,047,930100,b06007
37047930200,"Census Tract 9302, Columbus County, North Carolina",2138,1946,154,95,59,38,33,5,119,3,96,37,59,20,20,0,37,047,930200,b06007
37047930300,"Census Tract 9303, Columbus County, North Carolina",2660,2590,61,39,22,9,7,2,61,14,44,29,15,3,3,0,37,047,930300,b06007
37047930400,"Census Tract 9304, Columbus County, North Carolina",3593,3296,297,166,131,0,0,0,96,24,72,11,61,0,0,0,37,047,930400,b06007
37047930500,"Census Tract 9305, Columbus County, North Carolina",4078,3973,58,22,36,47,47,0,53,17,36,0,36,0,0,0,37,047,930500,b06007
37047930600,"Census Tract 9306, Columbus County, North Carolina",3363,3259,104,56,48,0,0,0,62,0,62,17,45,0,0,0,37,047,930600,b06007
37047930700,"Census Tract 9307, Columbus County, North Carolina",4412,3997,199,174,25,216,17,199,298,36,94,69,25,168,0,168,37,047,930700,b06007
37047930800,"Census Tract 9308, Columbus County, North Carolina",3649,3462,187,138,49,0,0,0,49,0,49,0,49,0,0,0,37,047,930800,b06007
37047930900,"Census Tract 9309, Columbus County, North Carolina",4344,4161,71,55,16,112,107,5,164,31,21,5,16,112,107,5,37,047,930900,b06007
37047931000,"Census Tract 9310, Columbus County, North Carolina",5172,4806,265,162,103,101,43,58,131,0,73,20,53,58,0,58,37,047,931000,b06007
37047931100,"Census Tract 9311, Columbus County, North Carolina",3749,3739,10,10,0,0,0,0,65,65,0,0,0,0,0,0,37,047,931100,b06007
37047931200,"Census Tract 9312, Columbus County, North Carolina",7024,6698,250,155,95,76,70,6,141,4,123,80,43,14,8,6,37,047,931200,b06007
37047931300,"Census Tract 9313, Columbus County, North Carolina",5213,4528,647,372,275,38,0,38,313,0,275,0,275,38,0,38,37,047,931300,b06007
