geoid,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county,tract,block group,table
370479301002,"Block Group 2, Census Tract 9301, Columbus County, North Carolina",1239,43,0,0,0,0,28,0,0,5,58,8,42,38,74,1,417,20,136,132,112,112,12,1,0,37,047,930100,2,b15003
370479304001,"Block Group 1, Census Tract 9304, Columbus County, North Carolina",1158,49,0,0,0,0,0,0,0,12,0,19,5,34,0,36,261,21,125,234,133,78,89,58,4,37,047,930400,1,b15003
370479313004,"Block Group 4, Census Tract 9313, Columbus County, North Carolina",1349,34,0,0,0,0,0,0,0,66,41,0,0,72,87,46,491,75,196,58,123,46,7,7,0,37,047,931300,4,b15003
370479301003,"Block Group 3, Census Tract 9301, Columbus County, North Carolina",987,28,0,0,0,11,0,0,10,9,61,0,8,53,52,0,343,72,83,52,79,108,18,0,0,37,047,930100,3,b15003
370479306004,"Block Group 4, Census Tract 9306, Columbus County, North Carolina",807,11,12,0,1,10,0,0,0,0,34,11,21,0,46,10,253,73,28,128,97,72,0,0,0,37,047,930600,4,b15003
370479306001,"Block Group 1, Census Tract 9306, Columbus County, North Carolina",339,4,0,0,0,0,0,11,0,0,0,4,0,0,13,0,106,9,85,33,21,42,11,0,0,37,047,930600,1,b15003
370479307005,"Block Group 5, Census Tract 9307, Columbus County, North Carolina",731,0,0,0,0,0,0,0,0,0,0,0,34,29,59,0,211,34,95,113,72,84,0,0,0,37,047,930700,5,b15003
370479310003,"Block Group 3, Census Tract 9310, Columbus County, North Carolina",1704,9,0,0,0,0,2,0,8,2,31,19,11,70,65,12,552,123,153,447,96,70,9,25,0,37,047,931000,3,b15003
370479303001,"Block Group 1, Census Tract 9303, Columbus County, North Carolina",739,4,6,0,0,0,0,0,0,0,28,7,35,22,9,0,227,42,33,183,61,63,16,3,0,37,047,930300,1,b15003
370479311003,"Block Group 3, Census Tract 9311, Columbus County, North Carolina",825,0,0,0,0,0,0,9,0,0,27,0,58,19,58,0,168,200,13,190,37,23,23,0,0,37,047,931100,3,b15003
