geoid,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,state,county,tract,table
37047930100,"Census Tract 9301, Columbus County, North Carolina",2827,71,0,0,0,11,28,0,10,14,119,11,53,95,147,1,949,119,252,321,327,267,31,1,0,37,047,930100,b15003
37047930200,"Census Tract 9302, Columbus County, North Carolina",1551,40,0,0,1,20,0,0,2,7,9,72,32,68,116,45,422,88,148,225,127,114,15,0,0,37,047,930200,b15003
37047930300,"Census Tract 9303, Columbus County, North Carolina",1961,10,6,0,0,0,0,0,0,11,50,21,35,52,33,74,485,64,137,388,218,242,87,34,14,37,047,930300,b15003
37047930400,"Census Tract 9304, Columbus County, North Carolina",2688,86,0,0,0,0,0,37,0,36,8,40,31,34,83,48,799,88,209,542,217,190,165,58,17,37,047,930400,b15003
37047930500,"Census Tract 9305, Columbus County, North Carolina",3133,24,0,0,17,0,0,1,6,1,1,28,21,208,146,44,744,147,423,588,433,196,63,42,0,37,047,930500,b15003
37047930600,"Census Tract 9306, Columbus County, North Carolina",2563,42,12,0,1,10,2,11,0,15,34,42,105,126,125,23,765,121,214,326,277,234,72,6,0,37,047,930600,b15003
37047930700,"Census Tract 9307, Columbus County, North Carolina",3459,42,0,0,0,25,29,0,8,44,20,90,114,240,202,0,869,192,256,385,335,517,53,17,21,37,047,930700,b15003
37047930800,"Census Tract 9308, Columbus County, North Carolina",2758,21,0,0,0,0,0,0,0,0,26,49,56,49,44,18,661,68,289,390,405,453,181,22,26,37,047,930800,b15003
37047930900,"Census Tract 9309, Columbus County, North Carolina",3205,62,0,0,0,0,0,23,0,0,28,51,123,92,80,23,1019,225,316,480,194,311,102,15,61,37,047,930900,b15003
37047931000,"Census Tract 9310, Columbus County, North Carolina",3738,24,0,0,0,21,2,0,8,40,31,36,147,104,78,40,1194,208,316,775,271,295,87,25,36,37,047,931000,b15003
37047931100,"Census Tract 9311, Columbus County, North Carolina",2683,11,0,0,0,0,0,9,0,10,37,10,120,117,142,24,825,242,181,451,259,183,62,0,0,37,047,931100,b15003
37047931200,"Census Tract 9312, Columbus County, North Carolina",5210,52,0,0,0,0,15,0,14,9,83,241,198,190,357,81,1561,593,434,668,285,241,170,13,5,37,047,931200,b15003
37047931300,"Census Tract 9313, Columbus County, North Carolina",3600,84,0,0,0,0,0,43,0,130,58,18,104,135,108,60,1027,185,538,347,363,302,91,7,0,37,047,931300,b15003
