geoid,NAME,B17026_001E,B17026_002E,B17026_003E,B17026_004E,B17026_005E,B17026_006E,B17026_007E,B17026_008E,B17026_009E,B17026_010E,B17026_011E,B17026_012E,B17026_013E,state,county,tract,table
37047930100,"Census Tract 9301, Columbus County, North Carolina",1165,57,41,39,46,92,142,42,19,280,163,82,162,37,047,930100,b17026
37047930200,"Census Tract 9302, Columbus County, North Carolina",621,56,25,52,23,34,21,11,25,78,111,88,97,37,047,930200,b17026
37047930300,"Census Tract 9303, Columbus County, North Carolina",774,78,52,12,23,28,36,15,10,120,62,113,225,37,047,930300,b17026
37047930400,"Census Tract 9304, Columbus County, North Carolina",1063,88,12,67,68,56,112,45,19,162,220,109,105,37,047,930400,b17026
37047930500,"Census Tract 9305, Columbus County, North Carolina",1293,85,39,87,82,40,32,49,64,220,258,127,210,37,047,930500,b17026
37047930600,"Census Tract 9306, Columbus County, North Carolina",880,15,11,43,97,11,56,17,34,220,145,66,165,37,047,930600,b17026
37047930700,"Census Tract 9307, Columbus County, North Carolina",1239,103,30,123,77,134,51,20,35,200,187,92,187,37,047,930700,b17026
37047930800,"Census Tract 9308, Columbus County, North Carolina",1046,103,0,0,40,71,74,9,8,78,151,158,354,37,047,930800,b17026
37047930900,"Census Tract 9309, Columbus County, North Carolina",1252,150,70,151,107,120,61,0,16,191,141,166,79,37,047,930900,b17026
37047931000,"Census Tract 9310, Columbus County, North Carolina",1382,96,95,44,113,160,37,0,12,288,152,122,263,37,047,931000,b17026
37047931100,"Census Tract 9311, Columbus County, North Carolina",1118,175,57,39,69,111,66,19,25,200,137,16,204,37,047,931100,b17026
37047931200,"Census Tract 9312, Columbus County, North Carolina",1486,72,94,66,35,158,82,4,53,329,201,112,280,37,047,931200,b17026
37047931300,"Census Tract 9313, Columbus County, North Carolina",1435,81,187,0,90,82,95,41,11,333,159,124,232,37,047,931300,b17026
