geoid,NAME,B19013_001E,state,county,tract,block group,table
370479301002,"Block Group 2, Census Tract 9301, Columbus County, North Carolina",34460,37,047,930100,2,b19013
370479304001,"Block Group 1, Census Tract 9304, Columbus County, North Carolina",37698,37,047,930400,1,b19013
370479313004,"Block Group 4, Census Tract 9313, Columbus County, North Carolina",26910,37,047,931300,4,b19013
370479301003,"Block Group 3, Census Tract 9301, Columbus County, North Carolina",40625,37,047,930100,3,b19013
370479306004,"Block Group 4, Census Tract 9306, Columbus County, North Carolina",53629,37,047,930600,4,b19013
370479306001,"Block Group 1, Census Tract 9306, Columbus County, North Carolina",21458,37,047,930600,1,b19013
370479307005,"Block Group 5, Census Tract 9307, Columbus County, North Carolina",37476,37,047,930700,5,b19013
370479310003,"Block Group 3, Census Tract 9310, Columbus County, North Carolina",38250,37,047,931000,3,b19013
370479303001,"Block Group 1, Census Tract 9303, Columbus County, North Carolina",32708,37,047,930300,1,b19013
370479311003,"Block Group 3, Census Tract 9311, Columbus County, North Carolina",24934,37,047,931100,3,b19013
370479308004,"Block Group 4, Census Tract 9308, Columbus County, North Carolina",-666666666,37,047,930800,4,b19013
370479304003,"Block Group 3, Census Tract 9304, Columbus County, North Carolina",39028,37,047,930400,3,b19013
370479304002,"Block Group 2, Census Tract 9304, Columbus County, North Carolina",35152,37,047,930400,2,b19013
370479313002,"Block Group 2, Census Tract 9313, Columbus County, North Carolina",58000,37,047,931300,2,b19013
370479313003,"Block Group 3, Census Tract 9313, Columbus County, North Carolina",35069,37,047,931300,3,b19013
370479313001,"Block Group 1, Census Tract 9313, Columbus County, North Carolina",36339,37,047,931300,1,b19013
370479301001,"Block Group 1, Census Tract 9301, Columbus County, North Carolina",34375,37,047,930100,1,b19013
370479302001,"Block Group 1, Census Tract 9302, Columbus County, North Carolina",45987,37,047,930200,1,b19013
370479306003,"Block Group 3, Census Tract 9306, Columbus County, North Carolina",42143,37,047,930600,3,b19013
370479306002,"Block Group 2, Census Tract 9306, Columbus County, North Carolina",36136,37,047,930600,2,b19013
370479307001,"Block Group 1, Census Tract 9307, Columbus County, North Carolina",29008,37,047,930700,1,b19013
370479307003,"Block Group 3, Census Tract 9307, Columbus County, North Carolina",32750,37,047,930700,3,b19013
370479307002,"Block Group 2, Census Tract 9307, Columbus County, North Carolina",21250,37,047,930700,2,b19013
370479311002,"Block Group 2, Census Tract 9311, Columbus County, North Carolina",36034,37,047,931100,2,b19013
370479308001,"Block Group 1, Census Tract 9308, Columbus County, North Carolina",68036,37,047,930800,1,b19013
370479308003,"Block Group 3, Census Tract 9308, Columbus County, North Carolina",60000,37,047,930800,3,b19013
370479308002,"Block Group 2, Census Tract 9308, Columbus County, North Carolina",78125,37,047,930800,2,b19013
370479307004,"Block Group 4, Census Tract 9307, Columbus County, North Carolina",47404,37,047,930700,4,b19013
370479312003,"Block Group 3, Census Tract 9312, Columbus County, North Carolina",-666666666,37,047,931200,3,b19013
370479312004,"Block Group 4, Census Tract 9312, Columbus County, North Carolina",41087,37,047,931200,4,b19013
370479312006,"Block Group 6, Census Tract 9312, Columbus County, North Carolina",58614,37,047,931200,6,b19013
370479312005,"Block Group 5, Census Tract 9312, Columbus County, North Carolina",45952,37,047,931200,5,b19013
370479312002,"Block Group 2, Census Tract 9312, Columbus County, North Carolina",27951,37,047,931200,2,b19013
370479312001,"Block Group 1, Census Tract 9312, Columbus County, North Carolina",32292,37,047,931200,1,b19013
370479305001,"Block Group 1, Census Tract 9305, Columbus County, North Carolina",31845,37,047,930500,1,b19013
370479305002,"Block Group 2, Census Tract 9305, Columbus County, North Carolina",28341,37,047,930500,2,b19013
370479305003,"Block Group 3, Census Tract 9305, Columbus County, North Carolina",43250,37,047,930500,3,b19013
370479309002,"Block Group 2, Census Tract 9309, Columbus County, North Carolina",18068,37,047,930900,2,b19013
370479309003,"Block Group 3, Census Tract 9309, Columbus County, North Carolina",21563,37,047,930900,3,b19013
370479309005,"Block Group 5, Census Tract 9309, Columbus County, North Carolina",-666666666,37,047,930900,5,b19013
370479309004,"Block Group 4, Census Tract 9309, Columbus County, North Carolina",31934,37,047,930900,4,b19013
370479309001,"Block Group 1, Census Tract 9309, Columbus County, North Carolina",22480,37,047,930900,1,b19013
370479310001,"Block Group 1, Census Tract 9310, Columbus County, North Carolina",40608,37,047,931000,1,b19013
370479310002,"Block Group 2, Census Tract 9310, Columbus County, North Carolina",43511,37,047,931000,2,b19013
370479311001,"Block Group 1, Census Tract 9311, Columbus County, North Carolina",43184,37,047,931100,1,b19013
370479303003,"Block Group 3, Census Tract 9303, Columbus County, North Carolina",58409,37,047,930300,3,b19013
370479303002,"Block Group 2, Census Tract 9303, Columbus County, North Carolina",50375,37,047,930300,2,b19013
