geoid,NAME,B19013_001E,state,county,tract,table
37047930100,"Census Tract 9301, Columbus County, North Carolina",38450,37,047,930100,b19013
37047930200,"Census Tract 9302, Columbus County, North Carolina",45987,37,047,930200,b19013
37047930300,"Census Tract 9303, Columbus County, North Carolina",48000,37,047,930300,b19013
37047930400,"Census Tract 9304, Columbus County, North Carolina",36672,37,047,930400,b19013
37047930500,"Census Tract 9305, Columbus County, North Carolina",31560,37,047,930500,b19013
37047930600,"Census Tract 9306, Columbus County, North Carolina",39338,37,047,930600,b19013
37047930700,"Census Tract 9307, Columbus County, North Carolina",34408,37,047,930700,b19013
37047930800,"Census Tract 9308, Columbus County, North Carolina",57407,37,047,930800,b19013
37047930900,"Census Tract 9309, Columbus County, North Carolina",25202,37,047,930900,b19013
37047931000,"Census Tract 9310, Columbus County, North Carolina",40827,37,047,931000,b19013
37047931100,"Census Tract 9311, Columbus County, North Carolina",34830,37,047,931100,b19013
37047931200,"Census Tract 9312, Columbus County, North Carolina",38298,37,047,931200,b19013
37047931300,"Census Tract 9313, Columbus County, North Carolina",32480,37,047,931300,b19013
