geoid,NAME,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,state,county,tract,block group,table
370479301002,"Block Group 2, Census Tract 9301, Columbus County, North Carolina",1406,654,654,590,64,0,752,37,047,930100,2,b23025
370479304001,"Block Group 1, Census Tract 9304, Columbus County, North Carolina",1348,681,681,647,34,0,667,37,047,930400,1,b23025
370479313004,"Block Group 4, Census Tract 9313, Columbus County, North Carolina",1454,800,800,792,8,0,654,37,047,931300,4,b23025
370479301003,"Block Group 3, Census Tract 9301, Columbus County, North Carolina",1246,824,824,767,57,0,422,37,047,930100,3,b23025
370479306004,"Block Group 4, Census Tract 9306, Columbus County, North Carolina",850,490,490,460,30,0,360,37,047,930600,4,b23025
370479306001,"Block Group 1, Census Tract 9306, Columbus County, North Carolina",380,173,173,164,9,0,207,37,047,930600,1,b23025
370479307005,"Block Group 5, Census Tract 9307, Columbus County, North Carolina",890,379,379,352,27,0,511,37,047,930700,5,b23025
370479310003,"Block Group 3, Census Tract 9310, Columbus County, North Carolina",2076,824,824,764,60,0,1252,37,047,931000,3,b23025
370479303001,"Block Group 1, Census Tract 9303, Columbus County, North Carolina",823,393,393,339,54,0,430,37,047,930300,1,b23025
370479311003,"Block Group 3, Census Tract 9311, Columbus County, North Carolina",884,331,331,300,31,0,553,37,047,931100,3,b23025
370479308004,"Block Group 4, Census Tract 9308, Columbus County, North Carolina",546,377,377,377,0,0,169,37,047,930800,4,b23025
370479304003,"Block Group 3, Census Tract 9304, Columbus County, North Carolina",955,361,361,324,37,0,594,37,047,930400,3,b23025
370479304002,"Block Group 2, Census Tract 9304, Columbus County, North Carolina",824,385,385,346,39,0,439,37,047,930400,2,b23025
370479313002,"Block Group 2, Census Tract 9313, Columbus County, North Carolina",596,329,329,318,11,0,267,37,047,931300,2,b23025
370479313003,"Block Group 3, Census Tract 9313, Columbus County, North Carolina",668,317,317,294,23,0,351,37,047,931300,3,b23025
370479313001,"Block Group 1, Census Tract 9313, Columbus County, North Carolina",1364,636,636,571,65,0,728,37,047,931300,1,b23025
370479301001,"Block Group 1, Census Tract 9301, Columbus County, North Carolina",780,458,458,386,72,0,322,37,047,930100,1,b23025
370479302001,"Block Group 1, Census Tract 9302, Columbus County, North Carolina",1760,980,978,943,35,2,780,37,047,930200,1,b23025
370479306003,"Block Group 3, Census Tract 9306, Columbus County, North Carolina",1284,772,772,725,47,0,512,37,047,930600,3,b23025
370479306002,"Block Group 2, Census Tract 9306, Columbus County, North Carolina",458,245,245,234,11,0,213,37,047,930600,2,b23025
370479307001,"Block Group 1, Census Tract 9307, Columbus County, North Carolina",419,105,105,65,40,0,314,37,047,930700,1,b23025
370479307003,"Block Group 3, Census Tract 9307, Columbus County, North Carolina",657,268,268,224,44,0,389,37,047,930700,3,b23025
370479307002,"Block Group 2, Census Tract 9307, Columbus County, North Carolina",882,481,481,425,56,0,401,37,047,930700,2,b23025
370479311002,"Block Group 2, Census Tract 9311, Columbus County, North Carolina",1278,572,572,549,23,0,706,37,047,931100,2,b23025
