geoid,NAME,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,state,county,tract,table
37047930100,"Census Tract 9301, Columbus County, North Carolina",3432,1936,1936,1743,193,0,1496,37,047,930100,b23025
37047930200,"Census Tract 9302, Columbus County, North Carolina",1760,980,978,943,35,2,780,37,047,930200,b23025
37047930300,"Census Tract 9303, Columbus County, North Carolina",2199,978,978,913,65,0,1221,37,047,930300,b23025
37047930400,"Census Tract 9304, Columbus County, North Carolina",3127,1427,1427,1317,110,0,1700,37,047,930400,b23025
37047930500,"Census Tract 9305, Columbus County, North Carolina",3610,1573,1573,1388,185,0,2037,37,047,930500,b23025
37047930600,"Census Tract 9306, Columbus County, North Carolina",2972,1680,1680,1583,97,0,1292,37,047,930600,b23025
37047930700,"Census Tract 9307, Columbus County, North Carolina",3985,1930,1930,1683,247,0,2055,37,047,930700,b23025
37047930800,"Census Tract 9308, Columbus County, North Carolina",2988,1808,1808,1760,48,0,1180,37,047,930800,b23025
37047930900,"Census Tract 9309, Columbus County, North Carolina",3614,1287,1287,1142,145,0,2327,37,047,930900,b23025
37047931000,"Census Tract 9310, Columbus County, North Carolina",4455,1993,1993,1882,111,0,2462,37,047,931000,b23025
37047931100,"Census Tract 9311, Columbus County, North Carolina",3001,1393,1358,1296,62,35,1608,37,047,931100,b23025
37047931200,"Census Tract 9312, Columbus County, North Carolina",6278,2197,2197,2115,82,0,4081,37,047,931200,b23025
37047931300,"Census Tract 9313, Columbus County, North Carolina",4082,2082,2082,1975,107,0,2000,37,047,931300,b23025
