geoid,NAME,B25002_001E,B25002_002E,B25002_003E,state,county,tract,block group,table
370479301002,"Block Group 2, Census Tract 9301, Columbus County, North Carolina",834,697,137,37,047,930100,2,b25002
370479304001,"Block Group 1, Census Tract 9304, Columbus County, North Carolina",800,718,82,37,047,930400,1,b25002
370479313004,"Block Group 4, Census Tract 9313, Columbus County, North Carolina",981,881,100,37,047,931300,4,b25002
370479301003,"Block Group 3, Census Tract 9301, Columbus County, North Carolina",603,531,72,37,047,930100,3,b25002
370479306004,"Block Group 4, Census Tract 9306, Columbus County, North Carolina",483,402,81,37,047,930600,4,b25002
370479306001,"Block Group 1, Census Tract 9306, Columbus County, North Carolina",341,243,98,37,047,930600,1,b25002
370479307005,"Block Group 5, Census Tract 9307, Columbus County, North Carolina",569,469,100,37,047,930700,5,b25002
370479310003,"Block Group 3, Census Tract 9310, Columbus County, North Carolina",865,756,109,37,047,931000,3,b25002
370479303001,"Block Group 1, Census Tract 9303, Columbus County, North Carolina",421,383,38,37,047,930300,1,b25002
370479311003,"Block Group 3, Census Tract 9311, Columbus County, North Carolina",471,359,112,37,047,931100,3,b25002
370479308004,"Block Group 4, Census Tract 9308, Columbus County, North Carolina",366,353,13,37,047,930800,4,b25002
370479304003,"Block Group 3, Census Tract 9304, Columbus County, North Carolina",512,435,77,37,047,930400,3,b25002
370479304002,"Block Group 2, Census Tract 9304, Columbus County, North Carolina",567,453,114,37,047,930400,2,b25002
370479313002,"Block Group 2, Census Tract 9313, Columbus County, North Carolina",299,234,65,37,047,931300,2,b25002
370479313003,"Block Group 3, Census Tract 9313, Columbus County, North Carolina",430,383,47,37,047,931300,3,b25002
370479313001,"Block Group 1, Census Tract 9313, Columbus County, North Carolina",865,757,108,37,047,931300,1,b25002
370479301001,"Block Group 1, Census Tract 9301, Columbus County, North Carolina",520,441,79,37,047,930100,1,b25002
370479302001,"Block Group 1, Census Tract 9302, Columbus County, North Carolina",993,851,142,37,047,930200,1,b25002
370479306003,"Block Group 3, Census Tract 9306, Columbus County, North Carolina",677,588,89,37,047,930600,3,b25002
370479306002,"Block Group 2, Census Tract 9306, Columbus County, North Carolina",316,248,68,37,047,930600,2,b25002
370479307001,"Block Group 1, Census Tract 9307, Columbus County, North Carolina",291,270,21,37,047,930700,1,b25002
370479307003,"Block Group 3, Census Tract 9307, Columbus County, North Carolina",311,305,6,37,047,930700,3,b25002
370479307002,"Block Group 2, Census Tract 9307, Columbus County, North Carolina",596,501,95,37,047,930700,2,b25002
370479311002,"Block Group 2, Census Tract 9311, Columbus County, North Carolina",687,687,0,37,047,931100,2,b25002
370479308001,"Block Group 1, Census Tract 9308, Columbus County, North Carolina",538,481,57,37,047,930800,1,b25002
370479308003,"Block Group 3, Census Tract 9308, Columbus County, North Carolina",516,388,128,37,047,930800,3,b25002
370479308002,"Block Group 2, Census Tract 9308, Columbus County, North Carolina",494,410,84,37,047,930800,2,b25002
370479307004,"Block Group 4, Census Tract 9307, Columbus County, North Carolina",649,573,76,37,047,930700,4,b25002
370479312003,"Block Group 3, Census Tract 9312, Columbus County, North Carolina",270,231,39,37,047,931200,3,b25002
370479312004,"Block Group 4, Census Tract 9312, Columbus County, North Carolina",466,466,0,37,047,931200,4,b25002
370479312006,"Block Group 6, Census Tract 9312, Columbus County, North Carolina",249,197,52,37,047,931200,6,b25002
370479312005,"Block Group 5, Census Tract 9312, Columbus County, North Carolina",559,546,13,37,047,931200,5,b25002
370479312002,"Block Group 2, Census Tract 9312, Columbus County, North Carolina",633,487,146,37,047,931200,2,b25002
370479312001,"Block Group 1, Census Tract 9312, Columbus County, North Carolina",511,409,102,37,047,931200,1,b25002
370479305001,"Block Group 1, Census Tract 9305, Columbus County, North Carolina",538,531,7,37,047,930500,1,b25002
370479305002,"Block Group 2, Census Tract 9305, Columbus County, North Carolina",925,821,104,37,047,930500,2,b25002
370479305003,"Block Group 3, Census Tract 9305, Columbus County, North Carolina",647,466,181,37,047,930500,3,b25002
370479309002,"Block Group 2, Census Tract 9309, Columbus County, North Carolina",322,161,161,37,047,930900,2,b25002
370479309003,"Block Group 3, Census Tract 9309, Columbus County, North Carolina",281,199,82,37,047,930900,3,b25002
370479309005,"Block Group 5, Census Tract 9309, Columbus County, North Carolina",905,823,82,37,047,930900,5,b25002
370479309004,"Block Group 4, Census Tract 9309, Columbus County, North Carolina",392,351,41,37,047,930900,4,b25002
370479309001,"Block Group 1, Census Tract 9309, Columbus County, North Carolina",512,437,75,37,047,930900,1,b25002
370479310001,"Block Group 1, Census Tract 9310, Columbus County, North Carolina",752,702,50,37,047,931000,1,b25002
370479310002,"Block Group 2, Census Tract 9310, Columbus County, North Carolina",654,566,88,37,047,931000,2,b25002
370479311001,"Block Group 1, Census Tract 9311, Columbus County, North Carolina",481,445,36,37,047,931100,1,b25002
370479303003,"Block Group 3, Census Tract 9303, Columbus County, North Carolina",503,304,199,37,047,930300,3,b25002
370479303002,"Block Group 2, Census Tract 9303, Columbus County, North Carolina",655,367,288,37,047,930300,2,b25002
