geoid,NAME,B25003_001E,B25003_002E,B25003_003E,state,county,tract,table
37047930100,"Census Tract 9301, Columbus County, North Carolina",1669,1222,447,37,047,930100,b25003
37047930200,"Census Tract 9302, Columbus County, North Carolina",851,631,220,37,047,930200,b25003
37047930300,"Census Tract 9303, Columbus County, North Carolina",1054,790,264,37,047,930300,b25003
37047930400,"Census Tract 9304, Columbus County, North Carolina",1606,1276,330,37,047,930400,b25003
37047930500,"Census Tract 9305, Columbus County, North Carolina",1818,1504,314,37,047,930500,b25003
37047930600,"Census Tract 9306, Columbus County, North Carolina",1481,1208,273,37,047,930600,b25003
37047930700,"Census Tract 9307, Columbus County, North Carolina",2118,1447,671,37,047,930700,b25003
37047930800,"Census Tract 9308, Columbus County, North Carolina",1632,1263,369,37,047,930800,b25003
37047930900,"Census Tract 9309, Columbus County, North Carolina",1971,967,1004,37,047,930900,b25003
37047931000,"Census Tract 9310, Columbus County, North Carolina",2024,1469,555,37,047,931000,b25003
37047931100,"Census Tract 9311, Columbus County, North Carolina",1491,1023,468,37,047,931100,b25003
37047931200,"Census Tract 9312, Columbus County, North Carolina",2336,1537,799,37,047,931200,b25003
37047931300,"Census Tract 9313, Columbus County, North Carolina",2255,1704,551,37,047,931300,b25003
